age,gender,haoxin_yijiantong,mobile_network_registered,mobile_realname_verification,fraud_risk,identity_feature_score,contract_ability_score,default_risk_score,consumer_preference_score,behavior_feature_score,social_influence_score,growth_potential_score,institution_industry,hit_institutions_count,hit_banks_count,hit_consumer_finance_count,hit_microloan_count,institution_query_total,institution_query_3m,institution_query_6m,haoxin_risk_score,haoxin_litigation_score,overall_score
26.0,1,0,0,0,0.0,93.0,19.0,20.0,95.0,96.0,49.0,85.0,3.0,33.0,1.0,4.0,19.0,66.0,4.0,11.0,25.0,0.0,358.0
41.0,0,0,1,0,0.0,93.0,72.0,43.0,95.0,90.0,48.0,92.0,2.0,34.0,0.0,4.0,23.0,85.0,0.0,0.0,0.0,0.0,449.0
34.0,0,0,0,0,0.0,78.0,69.0,62.0,95.0,88.0,53.0,85.0,1.0,14.0,1.0,0.0,11.0,20.0,2.0,3.0,0.0,0.0,460.0
30.0,0,0,0,0,0.0,91.0,77.0,75.0,90.0,47.0,49.0,88.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,553.0
26.0,0,0,0,0,0.0,86.0,60.0,54.0,84.0,86.0,49.0,85.0,4.0,15.0,0.0,2.0,7.0,20.0,0.0,0.0,0.0,0.0,445.0
39.0,0,0,0,0,0.0,86.0,48.0,53.0,97.0,89.0,59.0,84.0,1.0,22.0,0.0,1.0,19.0,34.0,4.0,6.0,89.0,0.0,481.0
30.0,0,0,0,0,0.0,90.0,69.0,24.0,90.0,90.0,57.0,85.0,1.0,27.0,0.0,4.0,17.0,55.0,6.0,14.0,0.0,0.0,396.0
26.0,0,0,0,0,0.0,92.0,89.0,89.0,94.0,86.0,49.0,88.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,637.0
36.0,0,1,1,1,0.0,90.0,90.0,53.0,89.0,80.0,49.0,85.0,0.0,25.0,0.0,2.0,16.0,52.0,5.0,9.0,109.0,0.0,358.0
25.0,0,0,1,0,0.0,75.0,82.0,63.0,96.0,86.0,49.0,85.0,0.0,36.0,1.0,5.0,24.0,82.0,1.0,1.0,0.0,0.0,463.0
35.0,0,0,0,0,0.0,90.0,80.0,58.0,93.0,88.0,49.0,85.0,1.0,16.0,0.0,1.0,11.0,26.0,1.0,2.0,0.0,0.0,458.0
31.0,0,0,0,0,0.0,92.0,93.0,22.0,96.0,82.0,49.0,85.0,2.0,12.0,0.0,0.0,9.0,13.0,9.0,9.0,0.0,0.0,388.0
31.0,0,0,0,0,0.0,92.0,94.0,51.0,91.0,87.0,49.0,85.0,1.0,21.0,1.0,0.0,14.0,49.0,3.0,4.0,146.0,0.0,400.0
35.0,0,1,0,1,0.0,87.0,70.0,76.0,96.0,87.0,49.0,85.0,4.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,542.0
29.0,0,0,0,0,0.0,94.0,64.0,53.0,91.0,86.0,49.0,85.0,0.0,34.0,0.0,2.0,21.0,94.0,0.0,18.0,0.0,0.0,402.0
29.0,0,0,0,0,0.0,89.0,88.0,70.0,85.0,87.0,49.0,85.0,1.0,24.0,2.0,1.0,18.0,55.0,0.0,0.0,0.0,0.0,460.0
43.0,0,0,0,0,0.0,91.0,60.0,87.0,89.0,95.0,49.0,85.0,1.0,7.0,1.0,1.0,4.0,18.0,4.0,5.0,10.0,0.0,506.0
30.0,1,1,0,1,0.0,81.0,82.0,41.0,78.0,86.0,49.0,88.0,1.0,31.0,2.0,3.0,19.0,57.0,6.0,9.0,0.0,0.0,385.0
29.0,0,0,0,0,0.0,88.0,89.0,24.0,86.0,87.0,49.0,85.0,2.0,28.0,0.0,3.0,20.0,87.0,12.0,26.0,0.0,0.0,358.0
27.0,0,0,0,0,0.0,82.0,44.0,19.0,86.0,86.0,49.0,85.0,2.0,15.0,0.0,2.0,8.0,31.0,0.0,8.0,0.0,0.0,358.0
25.0,0,1,0,1,0.0,86.0,71.0,77.0,90.0,87.0,49.0,85.0,5.0,20.0,0.0,3.0,12.0,60.0,9.0,20.0,0.0,0.0,419.0
37.0,0,0,0,0,0.0,90.0,74.0,75.0,92.0,89.0,49.0,85.0,4.0,33.0,1.0,3.0,18.0,90.0,0.0,1.0,188.0,0.0,389.0
22.0,0,1,1,1,0.0,84.0,72.0,59.0,94.0,87.0,49.0,88.0,6.0,5.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,534.0
22.0,0,0,0,0,0.0,93.0,85.0,63.0,94.0,86.0,49.0,88.0,2.0,22.0,1.0,1.0,17.0,50.0,0.0,0.0,0.0,0.0,448.0
24.0,0,0,1,0,0.0,94.0,86.0,33.0,92.0,87.0,49.0,85.0,2.0,7.0,1.0,1.0,5.0,7.0,2.0,5.0,0.0,0.0,363.0
26.0,1,0,0,0,0.0,74.0,74.0,29.0,96.0,89.0,49.0,85.0,2.0,19.0,0.0,1.0,13.0,27.0,0.0,2.0,70.0,0.0,480.0
23.0,0,1,0,1,0.0,85.0,64.0,63.0,95.0,87.0,49.0,85.0,1.0,15.0,0.0,0.0,12.0,32.0,1.0,1.0,0.0,0.0,508.0
33.0,0,0,0,0,0.0,86.0,60.0,69.0,91.0,86.0,49.0,85.0,4.0,29.0,1.0,3.0,20.0,74.0,2.0,3.0,0.0,0.0,484.0
24.0,1,1,0,1,0.0,93.0,69.0,74.0,94.0,86.0,49.0,85.0,5.0,9.0,1.0,1.0,3.0,25.0,0.0,1.0,0.0,0.0,514.0
30.0,0,1,0,1,0.0,90.0,78.0,82.0,93.0,87.0,49.0,85.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,564.0
33.0,0,0,0,0,0.0,90.0,87.0,72.0,94.0,88.0,49.0,85.0,2.0,13.0,0.0,0.0,9.0,18.0,0.0,0.0,359.0,0.0,507.0
32.0,0,0,0,0,0.0,94.0,91.0,35.0,95.0,88.0,49.0,88.0,1.0,7.0,0.0,0.0,5.0,8.0,0.0,3.0,0.0,0.0,506.0
20.0,0,0,0,0,0.0,95.0,89.0,43.0,94.0,87.0,49.0,88.0,2.0,10.0,0.0,1.0,7.0,15.0,5.0,8.0,0.0,0.0,525.0
24.0,0,0,0,0,0.0,94.0,75.0,69.0,91.0,86.0,49.0,85.0,1.0,6.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,567.0
31.0,0,0,0,0,0.0,84.0,77.0,74.0,95.0,87.0,49.0,85.0,0.0,19.0,1.0,3.0,12.0,42.0,10.0,20.0,0.0,0.0,424.0
30.0,0,0,0,0,0.0,94.0,95.0,89.0,94.0,86.0,49.0,88.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,652.0
33.0,0,1,0,1,0.0,87.0,48.0,62.0,96.0,86.0,49.0,85.0,4.0,13.0,1.0,1.0,5.0,18.0,3.0,3.0,0.0,0.0,437.0
28.0,0,1,0,1,0.0,97.0,67.0,73.0,95.0,86.0,49.0,85.0,3.0,3.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,580.0
26.0,1,0,0,0,0.0,76.0,93.0,40.0,80.0,87.0,49.0,88.0,0.0,26.0,1.0,0.0,20.0,43.0,0.0,1.0,140.0,0.0,451.0
27.0,0,0,0,0,0.0,84.0,82.0,29.0,80.0,90.0,49.0,85.0,5.0,9.0,0.0,3.0,5.0,20.0,5.0,13.0,0.0,0.0,468.0
39.0,0,0,0,0,0.0,94.0,92.0,75.0,96.0,89.0,49.0,85.0,1.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,597.0
30.0,0,0,0,0,0.0,83.0,73.0,32.0,93.0,89.0,49.0,85.0,1.0,31.0,0.0,4.0,22.0,75.0,2.0,4.0,0.0,0.0,358.0
29.0,0,1,1,1,0.0,89.0,83.0,53.0,93.0,86.0,49.0,85.0,2.0,19.0,0.0,1.0,13.0,37.0,0.0,0.0,76.0,0.0,456.0
51.0,0,1,0,1,0.0,85.0,27.0,63.0,91.0,87.0,49.0,88.0,6.0,12.0,0.0,0.0,8.0,18.0,0.0,0.0,112.0,0.0,545.0
21.0,0,0,0,0,0.0,90.0,84.0,60.0,89.0,87.0,49.0,85.0,5.0,13.0,1.0,2.0,8.0,43.0,2.0,3.0,0.0,0.0,468.0
26.0,0,1,0,1,0.0,88.0,88.0,28.0,92.0,86.0,49.0,88.0,2.0,15.0,0.0,1.0,9.0,17.0,0.0,2.0,40.0,0.0,410.0
27.0,0,0,0,0,0.0,97.0,51.0,66.0,93.0,82.0,49.0,85.0,1.0,22.0,1.0,4.0,14.0,63.0,1.0,2.0,0.0,0.0,456.0
36.0,0,0,0,0,0.0,91.0,44.0,76.0,93.0,87.0,49.0,85.0,1.0,40.0,1.0,7.0,27.0,93.0,1.0,5.0,0.0,0.0,358.0
23.0,0,0,0,0,0.0,95.0,89.0,66.0,73.0,88.0,50.0,85.0,1.0,13.0,1.0,1.0,7.0,24.0,0.0,2.0,0.0,0.0,463.0
24.0,0,0,0,0,0.0,88.0,82.0,66.0,90.0,88.0,49.0,85.0,2.0,28.0,1.0,2.0,20.0,74.0,0.0,0.0,0.0,0.0,407.0
31.0,0,1,0,1,0.0,90.0,59.0,52.0,90.0,86.0,49.0,85.0,5.0,6.0,0.0,1.0,4.0,15.0,1.0,4.0,0.0,0.0,407.0
30.0,0,0,0,0,0.0,78.0,87.0,82.0,87.0,79.0,59.0,85.0,1.0,26.0,1.0,3.0,17.0,89.0,7.0,14.0,0.0,0.0,358.0
29.0,0,1,1,1,0.0,87.0,57.0,37.0,94.0,87.0,49.0,85.0,2.0,26.0,0.0,0.0,19.0,66.0,0.0,0.0,31.0,0.0,358.0
25.0,0,1,0,1,0.0,86.0,80.0,74.0,90.0,87.0,49.0,88.0,2.0,24.0,1.0,1.0,17.0,84.0,8.0,25.0,0.0,0.0,482.0
29.0,1,0,0,0,0.0,69.0,59.0,56.0,91.0,87.0,49.0,85.0,1.0,24.0,1.0,1.0,16.0,51.0,0.0,0.0,60.0,0.0,468.0
23.0,0,0,0,0,0.0,96.0,80.0,77.0,96.0,87.0,49.0,85.0,2.0,17.0,0.0,0.0,13.0,54.0,8.0,18.0,0.0,0.0,500.0
33.0,0,1,0,1,0.0,83.0,77.0,75.0,86.0,86.0,49.0,85.0,4.0,6.0,1.0,1.0,2.0,7.0,0.0,0.0,87.0,0.0,481.0
31.0,0,0,0,0,0.0,84.0,84.0,38.0,87.0,87.0,49.0,88.0,1.0,5.0,0.0,1.0,4.0,13.0,2.0,5.0,0.0,0.0,491.0
28.0,0,0,0,0,0.0,86.0,69.0,63.0,82.0,87.0,61.0,85.0,1.0,26.0,1.0,2.0,17.0,61.0,0.0,0.0,0.0,0.0,453.0
30.0,0,0,0,0,0.0,91.0,28.0,69.0,92.0,92.0,49.0,88.0,1.0,31.0,1.0,1.0,23.0,64.0,4.0,4.0,23.0,0.0,427.0
40.0,0,0,0,0,0.0,97.0,39.0,41.0,94.0,91.0,49.0,75.0,1.0,19.0,2.0,2.0,13.0,72.0,0.0,0.0,40.0,0.0,467.0
29.0,1,1,1,1,0.0,89.0,55.0,70.0,96.0,87.0,49.0,85.0,1.0,14.0,1.0,0.0,9.0,17.0,0.0,0.0,0.0,0.0,494.0
23.0,0,0,0,0,0.0,89.0,92.0,49.0,78.0,86.0,57.0,77.0,1.0,14.0,1.0,1.0,7.0,40.0,1.0,4.0,0.0,0.0,390.0
30.0,0,1,0,1,0.0,90.0,45.0,72.0,94.0,75.0,49.0,85.0,2.0,24.0,0.0,1.0,19.0,39.0,1.0,1.0,164.0,0.0,490.0
43.0,1,1,1,1,0.0,90.0,84.0,52.0,86.0,86.0,49.0,85.0,1.0,6.0,0.0,0.0,5.0,6.0,1.0,2.0,0.0,3.0,388.0
27.0,0,0,1,0,0.0,86.0,64.0,74.0,95.0,87.0,61.0,85.0,2.0,28.0,1.0,2.0,20.0,85.0,13.0,28.0,0.0,0.0,478.0
32.0,0,0,0,0,0.0,93.0,68.0,60.0,84.0,97.0,49.0,85.0,2.0,6.0,0.0,1.0,4.0,16.0,1.0,2.0,10.0,0.0,458.0
28.0,0,0,1,0,0.0,94.0,45.0,74.0,96.0,86.0,49.0,85.0,1.0,33.0,1.0,6.0,18.0,73.0,8.0,16.0,0.0,0.0,482.0
27.0,0,0,0,0,0.0,95.0,91.0,77.0,95.0,88.0,49.0,85.0,5.0,3.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,603.0
28.0,0,0,0,0,0.0,90.0,60.0,31.0,95.0,87.0,49.0,85.0,1.0,25.0,2.0,3.0,15.0,58.0,3.0,8.0,41.0,0.0,358.0
36.0,0,0,1,0,0.0,83.0,23.0,70.0,92.0,86.0,49.0,85.0,1.0,29.0,2.0,1.0,20.0,56.0,0.0,0.0,351.0,4.0,358.0
23.0,1,1,0,1,0.0,90.0,89.0,94.0,95.0,87.0,49.0,85.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,576.0
37.0,0,1,0,1,0.0,97.0,42.0,79.0,95.0,97.0,57.0,85.0,1.0,6.0,0.0,0.0,5.0,9.0,1.0,2.0,10.0,2.0,516.0
29.0,0,0,0,0,0.0,89.0,49.0,51.0,90.0,87.0,49.0,85.0,2.0,20.0,0.0,2.0,15.0,29.0,1.0,3.0,61.0,0.0,369.0
38.0,0,0,0,0,0.0,92.0,88.0,94.0,97.0,96.0,49.0,85.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,736.0
31.0,0,0,1,0,0.0,86.0,87.0,63.0,85.0,87.0,49.0,88.0,1.0,23.0,0.0,0.0,16.0,61.0,0.0,0.0,0.0,0.0,464.0
25.0,0,1,1,1,0.0,89.0,50.0,60.0,91.0,87.0,49.0,88.0,1.0,13.0,0.0,1.0,7.0,56.0,0.0,0.0,0.0,0.0,371.0
39.0,0,0,1,0,0.0,86.0,84.0,45.0,86.0,87.0,49.0,88.0,5.0,17.0,0.0,0.0,10.0,24.0,0.0,0.0,50.0,0.0,446.0
25.0,0,0,0,0,0.0,89.0,71.0,49.0,86.0,86.0,49.0,88.0,1.0,26.0,2.0,3.0,15.0,61.0,12.0,19.0,10.0,0.0,429.0
36.0,1,1,1,1,0.0,74.0,58.0,46.0,64.0,93.0,57.0,85.0,1.0,6.0,1.0,0.0,4.0,7.0,0.0,1.0,73.0,0.0,358.0
23.0,0,0,0,0,0.0,88.0,54.0,60.0,91.0,86.0,49.0,88.0,1.0,9.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,456.0
28.0,0,0,0,0,0.0,89.0,82.0,91.0,93.0,85.0,49.0,85.0,2.0,15.0,0.0,2.0,11.0,31.0,11.0,18.0,0.0,0.0,541.0
35.0,0,1,0,1,0.0,89.0,66.0,52.0,89.0,89.0,49.0,85.0,1.0,19.0,0.0,3.0,12.0,43.0,0.0,2.0,25.0,0.0,374.0
33.0,1,1,0,1,0.0,86.0,89.0,32.0,90.0,86.0,49.0,88.0,2.0,15.0,1.0,1.0,8.0,19.0,4.0,6.0,0.0,0.0,377.0
25.0,0,1,1,1,0.0,86.0,57.0,82.0,89.0,87.0,49.0,88.0,1.0,28.0,1.0,3.0,17.0,70.0,9.0,17.0,0.0,0.0,488.0
29.0,0,0,0,0,0.0,85.0,92.0,55.0,94.0,87.0,49.0,85.0,2.0,20.0,1.0,3.0,13.0,47.0,3.0,5.0,0.0,0.0,407.0
40.0,0,0,0,0,0.0,81.0,56.0,26.0,90.0,94.0,49.0,85.0,2.0,38.0,1.0,2.0,26.0,130.0,8.0,26.0,0.0,0.0,463.0
31.0,0,0,0,0,0.0,91.0,55.0,71.0,94.0,87.0,49.0,88.0,1.0,24.0,1.0,1.0,16.0,64.0,0.0,3.0,0.0,0.0,381.0
31.0,0,0,1,0,0.0,93.0,96.0,66.0,95.0,93.0,49.0,88.0,1.0,12.0,0.0,2.0,8.0,17.0,0.0,0.0,0.0,0.0,585.0
28.0,0,0,0,0,0.0,91.0,82.0,72.0,86.0,86.0,49.0,88.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,571.0
32.0,0,0,0,0,0.0,88.0,84.0,59.0,88.0,89.0,49.0,85.0,4.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,501.0
33.0,0,1,0,1,0.0,92.0,80.0,43.0,91.0,87.0,49.0,88.0,4.0,34.0,1.0,3.0,20.0,71.0,0.0,0.0,295.0,3.0,401.0
22.0,0,0,0,0,0.0,92.0,74.0,60.0,83.0,87.0,61.0,85.0,3.0,13.0,1.0,0.0,9.0,21.0,0.0,1.0,67.0,0.0,494.0
