Feature,OLS_coef,OLS_se,OLS_pval,Tobit_coef,Tobit_se,Tobit_pval,CQR_10_coef,CQR_10_se,CQR_10_pval,CQR_50_coef,CQR_50_se,CQR_50_pval,CQR_90_coef,CQR_90_se,CQR_90_pval
behavior_feature_score,69.23227895644857,29.067598796260995,0.017494093368364456,69.23227895644857,28.743197031166034,0.01601167947230114,28.43582175800112,10.57544744227128,0.00716980216957297,21.10422839864036,27.23328118601394,0.438373607021429,80.91438397578837,28.21485973863222,0.004133455627264526
const,159.97092523567,41.3038503044262,0.00011749447096536265,159.97092523567,40.842934817623444,8.975656556787571e-05,82.04412321217247,16.447411865726057,6.09225379477607e-07,134.82296809082027,18.341916568761334,1.9739765377835283e-13,273.4954770359092,14.171269906530501,0.0
consumer_preference_score,90.58869720417009,20.99520041694388,1.8263017106976827e-05,90.58869720417009,20.7609315294811,1.2804383759018364e-05,71.19333348902109,18.773613849615057,0.0001493174574676015,92.23198937760615,21.574442555905723,1.9108769621745125e-05,61.2048778558085,23.437743421650218,0.009017736585382519
contract_ability_score,57.43205272139049,9.838253196559531,8.077416079518863e-09,57.43205272139049,9.728474773464688,3.5586920415531245e-09,90.43099433892498,15.459347105875386,4.9275703517537295e-09,57.07850082882654,13.68108766643944,3.0184047069559128e-05,31.214146233309876,25.282078596352545,0.21696627196191454
default_risk_score,164.24292412710852,9.607524782492042,4.4814756826248664e-55,164.24292412710852,9.500320253510292,5.778091766317443e-67,126.22017991431429,14.291193028313748,0.0,182.27317174407278,14.192840987737885,0.0,169.6900749647534,13.668547851128048,0.0
fraud_risk,-79.40360253143903,48.9568935712249,0.10527003183234884,-79.40360253143903,48.41057313651795,0.10096109705506011,-20.24877091847853,11.770395234176982,0.08537545388010237,-76.65281253273291,48.95041592195702,0.11736554267709609,-151.40430786991644,85.3590116898377,0.07610691419599802
gender,8.551582986261913,5.096417367879969,0.0937981684994282,8.551582986261913,5.03955190328518,0.0897167926882791,9.778218400183857,7.116869171828645,0.16945737993410392,8.839083278588355,4.890922330366593,0.07072445857300136,15.437800784734419,9.156329409692438,0.09179097387401436
growth_potential_score,28.786622050221048,30.415605870255266,0.3442472083944469,28.786622050221048,30.076137008207887,0.3385041763291913,143.1485944595821,18.20166323225754,3.774758283725532e-15,66.54385235243095,29.655066982765806,0.024836996923567778,-20.59959797641431,18.632858770381105,0.2689203895029828
haoxin_litigation_score,-135.16072138684353,44.47162373865173,0.002459342227521672,-135.16072138684353,43.975404117364555,0.0021152633439340727,-116.32307699314516,117.51843312287393,0.32225802435712003,-98.17709844431194,122.55660473316571,0.42308791499318166,-162.019584440291,114.4699840656806,0.15695440092784074
haoxin_risk_score,-13.186437159974211,14.206293400470706,0.3536158284286386,-13.186437159974211,14.047610521891972,0.34788679824869007,-35.242337668223705,39.76938346055803,0.37552723938553445,-13.896817864754636,21.324986535930844,0.5146151723355838,19.856436990011876,16.774614010070582,0.23652413421104135
hit_banks_count,-31.80038072457539,13.264745516624952,0.016772892973911338,-31.80038072457539,13.116735748016815,0.015333169427941417,-6.1595027199381525,16.92170086591748,0.715857850306783,-45.02103047957859,21.214199096758826,0.03381992906539777,-49.52734829432817,18.214126948947122,0.006544552021288563
hit_consumer_finance_count,-20.731023130122054,15.078152860790356,0.16959778746915452,-20.731023130122054,14.90987722626095,0.16440073274700917,-19.852831189049116,16.033626189978797,0.21564202159548396,-26.506085843178656,17.411009955254876,0.12791515158650557,-13.447262070051497,22.31496112299543,0.5467668737366407
hit_institutions_count,-101.6579618282237,14.621039905312932,8.172751884533666e-12,-101.6579618282237,14.45787815077229,2.0458928409642784e-12,-70.0181903430623,18.852398163693127,0.0002039923829115775,-84.67737707833014,19.146996272761623,9.757039667546152e-06,-134.79280659903404,19.045789854798834,1.4699352846037073e-12
identity_feature_score,45.27784289382934,19.87156763266807,0.022993662541959736,45.27784289382934,19.64980425607189,0.021209237959766994,4.181709287737532,11.982502046448818,0.7271008331942572,69.9200056684208,17.768579175234102,8.318409109131508e-05,79.06911792461904,34.814006065020344,0.02313566017938684
institution_query_3m,-10.50869414531557,17.20333617947567,0.5414943773350029,-10.50869414531557,17.011140217177203,0.5367377336393873,-28.789169780242766,25.114874137935974,0.2516712149428919,-17.12832623810557,20.750773130116404,0.4091270828340636,9.068779894307957,28.252702366667926,0.7482194453890625
mobile_realname_verification,-3.7089010584484186,4.162681691707686,0.3732393651928152,-3.7089010584484186,4.116212868020011,0.367563356244464,0.4906970703063986,4.881479640718772,0.9199297594444349,-3.612436401778126,5.153667293931177,0.4833374511091608,-12.636839295373877,5.591217284604815,0.02381361235608237
sigma (scale),,,,48.03412680861357,1.2649321737026396,0.0,2.0444174120769567,0.03201237474517739,0.0,2.947723476973862,0.0324453013916932,0.0,2.130202282812426,0.03664996472106238,0.0
