Feature,OLS_coef,OLS_se,OLS_pval,Tobit_coef,Tobit_se,Tobit_pval,CQR_10_coef,CQR_10_se,CQR_10_pval,CQR_50_coef,CQR_50_se,CQR_50_pval,CQR_90_coef,CQR_90_se,CQR_90_pval
behavior_feature_score,0.958584870464035,0.4089231407145502,0.019345854049642376,0.958584870464035,0.4046444262840715,0.017838372030069636,0.39733787742422577,0.3676013291805726,0.27974450229545145,0.36445931976579665,0.7356439661157164,0.6202973615903937,0.9978604171145251,0.772683271578868,0.19655727786902544
const,35.821059320269114,70.0413189159509,0.6092116252275774,35.821059320269114,69.30709680025998,0.60526403287025,-90.42799520508193,3.805749568466076,0.0,-9.99783541904563,3.5025445476668446,0.004311152832763732,181.8903451547909,7.479128760234557,0.0
consumer_preference_score,1.175757688908625,0.27262393724195366,1.8420366303133547e-05,1.175757688908625,0.2697731796025663,1.310649979258964e-05,0.9419870024909096,0.2886446162480058,0.0011005151151752823,1.1931588119696284,0.3246602239746743,0.00023775620595922753,0.8243807408870009,0.44762976104951635,0.06552525335191572
contract_ability_score,0.6968182224733573,0.1183900135285882,6.121992112135238e-09,0.6968182224733573,0.117151889598521,2.714558158435362e-09,1.0799860643950763,0.18358276278696728,4.033117173563028e-09,0.7319369448884631,0.18187736038770014,5.713451080158194e-05,0.47018038006539503,0.26607004397406686,0.0772064447355536
default_risk_score,1.837896724684244,0.10760272753792925,5.222518082260155e-55,1.837896724684244,0.10647741413952957,9.264452064207128e-67,1.4230474713153134,0.16745841486800164,0.0,2.037487829296851,0.13763589840233117,0.0,1.910760921565952,0.16590577839845463,0.0
fraud_risk,-78.79885569051748,48.94504123446888,0.107856724279035,-78.79885569051748,48.4331939378577,0.1037456527408536,-19.77634825242697,15.11495556397436,0.19073900953952982,-75.02964902916692,26.59046077492181,0.004777350497268795,-150.8249019854286,133.90210592819585,0.2600039252871449
gender,8.379536453625121,5.092014425120549,0.10028647227366864,8.379536453625121,5.0387602126743225,0.09630932812622844,10.119714820265626,4.573194682850257,0.026909180694999035,9.533327198561848,5.50650727914847,0.0834011479880119,9.295884041478875,7.312093127710943,0.20362096731947754
growth_potential_score,0.5678184439702612,0.5846120602092479,0.3317445330251174,0.5678184439702612,0.5784908894608195,0.32632098422391353,2.7209632792683682,0.4235364257089339,1.323992027124632e-10,1.1421516868056498,0.8027713327127426,0.15480547129253663,-0.47077371267284607,0.7511925887883544,0.5308547541811446
haoxin_litigation_score,-3.455082127802288,1.1083462555169081,0.0018990339154159384,-3.455082127802288,1.0967558180020143,0.0016311700107124547,-2.9196972530354515,3.1232291490171153,0.34987443968652565,-2.434801261352259,3.387558816089702,0.4722961774629437,-4.156347445608767,2.719393796269236,0.1264108854495376
haoxin_risk_score,-0.03716353098105113,0.039229459758206006,0.3437910565207035,-0.03716353098105113,0.03881917079883495,0.33839065467979823,-0.09315066999924124,0.09171100954553107,0.30977331927504537,-0.03276580741902816,0.0547847617502561,0.5497848846507245,0.05149355084422259,0.05419984534459863,0.3420775875470776
hit_banks_count,-6.339166419558363,2.65245798161963,0.017113276417614676,-6.339166419558363,2.624720537085752,0.015727536098770294,-1.543251580226221,2.7684907916203882,0.57723077204754,-8.514285471792721,3.8603015668130047,0.027411940372164434,-9.427511038930882,3.337015377615887,0.004726104839533507
hit_consumer_finance_count,-2.5226710793841876,1.8829160046753548,0.18075177451134156,-2.5226710793841876,1.8632279363882582,0.17576027318133924,-2.2501178685190317,1.5755690342440987,0.15325435933887133,-3.0609723323705915,2.4053115754826395,0.20316403028435004,-0.2838511865010277,2.7364461861476483,0.9173837276711434
hit_institutions_count,-1.873407591664153,0.2705257891799548,9.814189958766933e-12,-1.873407591664153,0.26769711914511995,2.5920538593554582e-12,-1.3217083831625742,0.30567715750294094,1.5331545269114955e-05,-1.5777705107623592,0.3403231216371306,3.550518862915908e-06,-2.3925522261642778,0.39226546808228946,1.0652130288946182e-09
identity_feature_score,0.7721496392950751,0.33056034920358524,0.019776484012468894,0.7721496392950751,0.32710201079284495,0.018246506465631297,0.03219604780242578,0.3338985890000305,0.9231833315882636,1.0842399519791786,0.3578669409424855,0.002447730290531469,1.3476737773910175,0.5799546262586701,0.02013850723962962
institution_query_3m,-0.28698212752548025,0.5052985215404482,0.5702524057609439,-0.28698212752548025,0.5000083537720693,0.5659984793436871,-0.8648603280813568,0.7924111104798097,0.2750842340660695,-0.46423577786988074,0.6452271458971762,0.4718378217922594,0.22211090280432275,1.1614089945954553,0.8483355112940085
sigma (scale),,,,48.06116344564379,1.265644157334399,0.0,2.044588851936509,0.02779968286530318,0.0,2.9483006734242503,0.03328338964758746,0.0,2.1382604916538086,0.035608631840098715,0.0
